Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
AAPL,Apple Inc. Common Stock,"2,254,894,440,400",$130.06,-5.37,-3.97%
ABNB,"Airbnb, Inc. Class A Common Stock","55,620,171,393",$93.26,-8.21,-8.09%
ADBE,Adobe Inc. Common Stock,"172,500,300,000",$365.08,-11.84,-3.14%
ADI,"Analog Devices, Inc. Common Stock","74,571,372,777",$143.46,-6.62,-4.41%
ADP,"Automatic Data Processing, Inc. Common Stock","83,524,365,571",$199.94,-7.21,-3.48%
ADSK,"Autodesk, Inc. Common Stock","35,699,996,004",$164.31,-12.4,-7.02%
AEP,"American Electric Power Company, Inc. Common Stock","45,803,005,057",$89.19,-1.46,-1.61%
ALGN,"Align Technology, Inc. Common Stock","18,111,090,812",$229.82,-13.96,-5.73%
AMAT,"Applied Materials, Inc. Common Stock","77,938,576,546",$89.59,-7.83,-8.04%
AMD,"Advanced Micro Devices, Inc. Common Stock","133,525,296,199",$82.05,-7.25,-8.12%
AMGN,Amgen Inc. Common Stock,"123,245,266,542",$230.71,-4.87,-2.07%
AMZN,"Amazon.com, Inc. Common Stock","1,054,936,230,812",$103.66,-4.01,-3.72%
ANSS,"ANSYS, Inc. Common Stock","19,807,650,324",$227.70,-11.05,-4.63%
ASML,ASML Holding N.V. New York Registry Shares,"188,477,945,126",$468.15,-37.18,-7.36%
ATVI,"Activision Blizzard, Inc. Common Stock","57,804,497,225",$73.93,-1.42,-1.88%
AVGO,Broadcom Inc. Common Stock,"200,770,084,086",$497.18,-29.53,-5.61%
AZN,AstraZeneca PLC American Depositary Shares,"188,601,562,893",$60.86,0.29,0.0048
BIDU,"Baidu, Inc. ADS","47,471,729,476",$137.38,-7.44,-5.14%
BIIB,Biogen Inc. Common Stock,"28,049,954,050",$191.53,-5.73,-2.90%
BKNG,Booking Holdings Inc. Common Stock,"75,000,280,157","$1,846.24",-127,-6.44%
CDNS,"Cadence Design Systems, Inc. Common Stock","38,904,079,720",$141.08,-6.64,-4.49%
CEG,Constellation Energy Corporation Common Stock,"19,033,480,070",$58.26,0.06,0.001
CHTR,"Charter Communications, Inc. Class A Common Stock New","85,104,873,167",$415.35,-33.65,-7.49%
CMCSA,Comcast Corporation Class A Common Stock,"169,837,359,059",$37.91,-2.22,-5.53%
COST,Costco Wholesale Corporation Common Stock,"200,112,941,840",$451.76,-7.03,-1.53%
CPRT,"Copart, Inc. (DE) Common Stock","24,427,987,361",$102.78,-3.67,-3.45%
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock","36,483,986,455",$157.21,-7.14,-4.34%
CSCO,"Cisco Systems, Inc. Common Stock (DE)","179,386,562,083",$43.32,-0.48,-1.10%
CSX,CSX Corporation Common Stock,"63,162,251,606",$29.05,-0.37,-1.26%
