,current_ratio,DSO,DIO,operating_cycle,DPO,CCC,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin,effective_tax_rate,return_on_assets,ROCE,debt_ratio,interest_coverage_ratio,fixed_asset_turnover,asset_turnover,twoHundredDayAverage,payoutRatio,fiftyDayAverage,trailingAnnualDividendRate,dividendRate,trailing_PE,market_cap,priceToSalesTrailing12Months,forward_PE,fiftyTwoWeekHigh,fiftyTwoWeekLow,enterpriseToRevenue,profitMargins,enterpriseToEbitda,trailing_EPS,forward_EPS,bookValue,priceToBook,cmp,Sector
3MINDIA.NS,3.204650316301933,60.4979554335567,93.3358165833674,153.83377201692412,93.3358165833674,60.49795543355671,0.36878266735498866,0.10508921931157585,0.11017252407390915,0.08152997787634826,0.25997903232521063,0.09047775768832442,0.15611822162899208,0.2735817493358077,100.0773644694396,10.114250673102578,1.1097483409789064,22506.441,0,21944.275,0,,78.570435,253352099840,7.1658154,,27800.0,17273.0,6.791,0.09224,52.877,286.24,,1938.357,11.60261,22490.0,CONSUMER GOODS
ABB.NS,1.6572647416572799,141.26668589558696,153.55951581661435,294.8262017122013,153.55951581661435,141.26668589558693,0.3276795500432651,0.06573117969426016,0.10445197577156043,0.07495096625324489,0.2647907548290002,0.06437838949353009,0.11201415598618808,0.4989074341549462,50.08571428571428,7.922398427859787,0.8589400872566192,2267.1191,0.203,2502.238,5.2,5.2,109.063225,592113303552,7.445531,79.02149,2850.0,1624.35,7.106,0.06708,80.336,25.62,35.36,196.738,14.202644,2794.2,INDUSTRIAL MANUFACTURING
POWERINDIA.NS,1.1480594995461317,127.48670649333194,240.50001831419834,367.98672480753027,240.50001831419834,127.48670649333192,0.36483017658326505,0.04177922309567447,0.05760734975170806,0.04238411965577767,0.26425846982275075,0.04652825862401671,0.13599798047795356,0.6786525080309204,4.850540216086435,5.2453999376262725,1.097775747187759,3055.674,0.0417,3290.533,0,3,67.7016,137806659584,3.385364,,4042.6,1747.65,3.352,0.0366,60.238,47.99,,267.102,12.163893,3249.0,INDUSTRIAL MANUFACTURING
ACC.NS,1.7264919980552909,25.714585550596315,109.14715642935185,134.86174197994816,109.14715642935185,25.71458555059631,0.6056036310796346,0.14815433945839657,0.15517776180419734,0.11534349079692688,0.25665701130714413,0.08855003412735683,0.15918125698472674,0.31972580237313464,54.249376558603494,2.0339412698792483,0.7677072500194878,2210.4507,0.8063,2159.615,0,58,31.196997,422085197824,2.5020285,21.326744,2589.0,1900.0,2.212,0.080299996,16.24,71.93,105.22,737.304,3.0435207,2244.0,CEMENT & CEMENT PRODUCTS
AIAENG.NS,12.2598278091709,84.53014642480699,39.90403783474859,124.43418425955558,39.90403783474859,84.53014642480699,0.49541801955072906,0.17631304090653724,0.2190545741535518,0.1737481232899953,0.20690774042470672,0.12089987160845603,0.13041926275633506,0.07065278890282511,163.3151880324122,3.6486398728184795,0.6958341150348277,1946.0198,0.1285,2293.025,0,9,36.46803,240983900160,6.1691046,30.89793,2654.1,1475.05,5.779,0.16916999,28.196,70.06,82.69,504.062,5.0687213,2554.95,INDUSTRIAL MANUFACTURING
APLAPOLLO.NS,1.278221264508546,9.583425193595502,34.455592562495994,44.039017756091496,34.455592562495994,9.583425193595502,0.14086771203645015,0.06401818220789202,0.06371427784054896,0.04266067125355576,0.25631968473663974,0.12516592137741134,0.2766350873943131,0.4465895997897768,18.805711715763437,5.931348244204102,2.933988559005123,928.5795,0,919.536,0,,52.855118,280313593856,2.006886,,1128.4,741.425,2.035,0.037019998,32.155,21.19,,90.554,12.368311,1120.0,METALS
AUBANK.NS,0.11841028025974853,,inf,,inf,,1.0,0.3760359695480198,0.3760359695480198,0.2921847446474955,0.22298724508006537,0.016355966655823048,0.0,0.8912238960058144,,6.21109373336034,0.05597816777037968,615.5484,0,601.7445,0,0.5,34.225353,419937845248,9.922873,29.787836,732.975,462.5,9.414,0.28225002,,18.46,21.21,119.634,5.281107,631.8,FINANCIAL SERVICES
AARTIDRUGS.NS,1.4822198755587555,110.08758257201568,100.49996336987083,210.5875459418865,100.49996336987083,110.08758257201568,0.316033362401351,0.11588129576334247,0.10847469736352197,0.0823896273226186,0.2406300158804186,0.09286343438354636,0.2274528210143968,0.5306517550330658,13.8995324850588,3.2466960915643814,1.1271253117812363,472.8045,0.048499998,417.048,0,1,20.74468,39743934464,1.5705056,,648.3,378.0,1.769,0.07548,13.919,20.68,,111.918,3.8331635,429.0,PHARMA
AARTIIND.NS,1.4008429790966859,72.50505717175527,54.307521358179855,126.81257852993512,54.307521358179855,72.50505717175527,0.5294515968662677,0.23432848187703928,0.21811553208875478,0.18674249567140383,0.1436861409483888,0.13514080721197586,0.22359917391985934,0.38847283103134567,16.301828662293776,1.1848032876786525,0.7236746340253082,879.6863,0.0971,738.692,0,2,22.284237,296709521408,3.875911,,1168.0,668.85,4.128,0.17392,15.942,36.73,,163.027,5.020641,818.5,CHEMICALS
AAVAS.NS,8.270505231680728,4221.19629199635,147.08356458054476,4368.279856576894,147.08356458054476,4221.19629199635,0.9885921235709895,0.5619614054183969,0.5619822614492161,0.44093199642865305,0.21539872932715662,0.032237914426298926,0.0,0.7452747704836007,,12.893825381961951,0.0731131210422724,2477.284,0,2092.684,0,,45.44507,172813615104,19.623014,32.915596,3340.0,1815.0,28.585,0.43737,,47.97,66.23,355.53,6.1316905,2180.0,FINANCIAL SERVICES
